initial_condition, time, x, y, z
0, 31.110617, 1.3651549, 1.7471814, 16.440632
0, 31.120617, 1.408444, 1.8920567, 16.032843
0, 31.130617, 1.4618711, 2.0468774, 15.638775
0, 31.140617, 1.5254825, 2.2129946, 15.258579
0, 31.150618, 1.599453, 2.3918502, 14.892494
0, 31.160618, 1.6840826, 2.5849845, 14.540857
0, 31.170618, 1.7797947, 2.7940435, 14.204124
0, 31.180618, 1.8871342, 3.0207863, 13.882889
0, 31.190619, 2.0067673, 3.267093, 13.577906
0, 31.200619, 2.139482, 3.534971, 13.29012
0, 31.210619, 2.2861888, 3.826559, 13.020702
0, 31.22062, 2.4479213, 4.144129, 12.771088
0, 31.23062, 2.6258368, 4.490081, 12.543022
0, 31.24062, 2.8212178, 4.8669353, 12.338619
0, 31.25062, 3.0354686, 5.2773128, 12.16042
0, 31.26062, 3.2701137, 5.723904, 12.011472
0, 31.27062, 3.52679, 6.2094235, 11.895402
0, 31.28062, 3.8072348, 6.736541, 11.816516
0, 31.29062, 4.1132693, 7.307789, 11.779895
0, 31.300621, 4.44677, 7.925434, 11.7915
0, 31.310621, 4.809632, 8.591307, 11.85828
0, 31.320621, 5.203712, 9.306577, 11.988269
0, 31.330622, 5.6307607, 10.071467, 12.190669
0, 31.340622, 6.0923223, 10.884899, 12.475894
0, 31.350622, 6.589611, 11.744043, 12.855555
0, 31.360622, 7.1233506, 12.643801, 13.342349
0, 31.370623, 7.6935763, 13.576194, 13.949819
0, 31.380623, 8.299396, 14.529697, 14.691918
0, 31.390623, 8.938704, 15.488554, 15.582339
0, 31.400623, 9.607866, 16.432138, 16.63353
0, 31.410624, 10.301376, 17.334484, 17.855368
0, 31.420624, 11.011514, 18.164131, 19.253473
0, 31.430624, 11.7280445, 18.88447, 20.827198
0, 31.440624, 12.438016, 19.454826, 22.567438
0, 31.450624, 13.125717, 19.832445, 24.45452
0, 31.460625, 13.772881, 19.975498, 26.456532
0, 31.470625, 14.359199, 19.847052, 28.528612
0, 31.480625, 14.863203, 19.419672, 30.613668
0, 31.490625, 15.26351, 18.680079, 32.64495
0, 31.500626, 15.540349, 17.63297, 34.55058
0, 31.510626, 15.677245, 16.303135, 36.259666
0, 31.520626, 15.662615, 14.735028, 37.709248
0, 31.530626, 15.491039, 12.989571, 38.850815
0, 31.540627, 15.163987, 11.138462, 39.65518
0, 31.550627, 14.689843, 9.256977, 40.114746
0, 31.560627, 14.083227, 7.4165683, 40.24274
0, 31.570627, 13.363722, 5.6785913, 40.069824
0, 31.580627, 12.554217, 4.0901017, 39.638924
0, 31.590628, 11.679131, 2.6820793, 38.999405
0, 31.600628, 10.762735, 1.4698871, 38.20169
0, 31.610628, 9.827785, 0.45537356, 37.293
0, 31.620628, 8.894507, -0.37011674, 36.31454
0, 31.630629, 7.9800076, -1.0224953, 35.300125
0, 31.640629, 7.09802, -1.5219351, 34.275932
0, 31.650629, 6.258948, -1.8904116, 33.261074
0, 31.66063, 5.4701023, -2.1498725, 32.268604
0, 31.67063, 4.736064, -2.321009, 31.306702
0, 31.68063, 4.0591, -2.4225292, 30.379839
0, 31.69063, 3.4395924, -2.4708197, 29.489824
0, 31.70063, 2.876443, -2.479872, 28.636648
0, 31.71063, 2.3674393, -2.4613836, 27.81916
0, 31.72063, 1.9095694, -2.4249592, 27.03556
0, 31.73063, 1.4992851, -2.3783567, 26.283747
0, 31.740631, 1.1327164, -2.3277493, 25.561552
0, 31.750631, 0.8058407, -2.277977, 24.866888
0, 31.760632, 0.51461226, -2.2327807, 24.19783
0, 31.770632, 0.25505927, -2.1950102, 23.552658
0, 31.780632, 0.023352113, -2.1668067, 22.929869
0, 31.790632, -0.18415016, -2.1497583, 22.32817
0, 31.800632, -0.37087184, -2.145033, 21.74647
0, 31.810633, -0.54000676, -2.1534882, 21.18385
0, 31.820633, -0.69451517, -2.1757648, 20.639555
0, 31.830633, -0.83712924, -2.212362, 20.112976
0, 31.840633, -0.97036445, -2.2636998, 19.603628
0, 31.850634, -1.096535, -2.33017, 19.111147
0, 31.860634, -1.2177725, -2.4121764, 18.635275
0, 31.870634, -1.3360462, -2.5101697, 18.175858
